handle,name,website,industry,size,type,founded,city,state,country_code
company/-shenzhen-han's-motor-s&t-co.-ltd-,"Shenzhen Han's Motor S&T Co., Ltd",hansmotor.com,mechanical or industrial engineering,501-1K,Public Company,2005.0,Fuyong,Guangdong Province Guangdong,CN
company/-socentcph,#SOCENTCPH - Social Entrepreneurship Copenhagen,socentcph.dk,civic and social organizations,1-10,Nonprofit,2016.0,,,DK
company/-stak,Ístak,istak.is,construction,201-500,Privately Held,1970.0,Mosfellsbr,,IS
company/-sunbox,SUNBOX,sunbox.eu,utilities,11-50,Privately Held,2007.0,,,
company/-the-sukhothai-hotel-bangkok,The Sukhothai Bangkok,sukhothai.com,hospitality,201-500,Public Company,1991.0,Bangkok,Bangkok,TH
company/-tree,Tree Social,tree.social,"technology, information and internet",1-10,Privately Held,2015.0,Tallinn,Harjumaa,EE
company/-unimine-llc,"""Unimine"" LLC",unimine.am,retail,1-10,Privately Held,2012.0,Yerevan,Yerevan,AM
company/-vriesbouw-ommeland-bouw-b-v-,(Vriesbouw) Ommeland Bouw B.V.,vriesbouw.eu,construction,11-50,Public Company,2007.0,,,
company/-wtd,#WTD,,,,,,,,
company/-yusi-ko-ltd,"""Yusi Ko"" MMC",yusiko.az,construction,51-200,Privately Held,,,,
company/-z-akar-makina-ltd-ti-,ÖZ AKAR MAKİNA LTD. ŞTİ.,,motor vehicle manufacturing,11-50,Partnership,2008.0,,,
company/-zmak-a.s.,ÖZMAK A.S.,ozmakmakine.com.tr,machinery manufacturing,51-200,Partnership,1978.0,,,
company/.dat,.dat,dat-media.com,computer games,11-50,Public Company,,,,
company/.mattomedia®,.mattomedia®,mattomedia.de,,11-50,,,Villingen-Schwenningen,Baden-Wrttemberg,DE
company/.narcissique-store,.Narcissique,narcissique-store.com,retail apparel and fashion,11-50,Privately Held,2020.0,Paris,le-de-France,FR
company/.net-infused-llc,".Net Infused, LLC",,software development,,,,,,
company/.p.-moller-maersk-a-s-adr,.P. Moller Maersk A/S / ADR,,,11-50,,,New York,New York,US
company/0-infinity,0-Infinity,noon.com,retail apparel and fashion,1-10,Self-Employed,,Dubai,Dubai,AE
company/001-translation-agency-uk-ltd,001 Translation Agency UK Ltd,translation-manchester.co.uk,translation and localization,,,,Manchester,England,GB
company/002-production,002 Production,002production.com,photography,1-10,Self-Employed,,Espoo,Uusimaa,FI
company/007-concepts,007 CONCEPTS,007concepts.nl,advertising services,,,,,,
company/01-plicit,01-PLICIT,,software development,,,,Rance,Auvergne-Rhone-Alpes,FR
company/011-real-estate-branding,011 nekilnojamasis turtas,011.lt,real estate,11-50,Self-Employed,2007.0,Kaunas,Kaunas,LT
company/011transportes,011 TRANSPORTES E TURISMO LTDA,011transportes.com.br,truck transportation,1-10,Privately Held,2010.0,So Paulo,So Paulo,BR
company/013food,013Food,013food.nl,food and beverage services,51-200,Partnership,2017.0,Tilburg,North Brabant,NL
company/01cnc,01CNC,01cnc.com,machinery manufacturing,11-50,Privately Held,1995.0,Industrial Town Tehran,,IR
company/01go,01Go,01go.sk,advertising services,11-50,Public Company,2022.0,Bratislava,Bratislava,SK
company/01net-it,01net.it,01net.it,online audio and video media,51-200,Privately Held,,Milan,Lombardy,IT
company/01vc,01VC,01vc.com,capital markets,11-50,Privately Held,2014.0,,,CN
company/03-media-group,03 MEDIA GROUP,,"movies, videos, and sound",,,,Petit Canal,,FR
company/040-inc,040 Inc.,,musicians,1-10,Partnership,2019.0,,,
company/050-agency,050 Agency B.V.,050agency.nl,musicians,1-10,Self-Owned,2014.0,Groningen,Groningen,NL
company/0813-8240-2597-distributor-kosmetik-shannen-makassar,"0813 8240 2597, Distributor Kosmetik Shannen Makassar",medium.com,personal care product manufacturing,1-10,Partnership,2014.0,Makassar,South Sulawesi,ID
company/0902-limited,0902 Limited,0902.co.uk,it services and it consulting,1-10,Privately Held,2011.0,London,England,GB
company/0b101-fellowship,101 Fellowship,101fellowship.com,venture capital and private equity principals,1-10,Partnership,,London,England,GB
company/0db.pl,0dB.pl,0db.pl,e-learning providers,1-10,Self-Owned,2009.0,,,
company/0expo4,EXPO4,expo4.fr,architecture and planning,1-10,Privately Held,1995.0,Neuilly-Sur-Marne,,FR
company/0nchained,0nchained,,financial services,1-10,Self-Owned,,Rabat,Rabat-Sale-Kenitra,MA
company/0ne-stop-speech-and-language-therapeutic-services,0NE STOP SPEECH AND LANGUAGE THERAPEUTIC SERVICES,,medical practices,1-10,,,Arverne,York,US
company/0onedigitalhub,0one,0one.it,it services and it consulting,1-10,Privately Held,2018.0,Tribiano,Lombardy,IT
company/0um-org,01 films,0um.org,"movies, videos, and sound",1-10,Nonprofit,2018.0,,,
company/0xblu,0xBlu,0xblu.com,it services and it consulting,1-10,Privately Held,2023.0,Gurgaon,,IN
company/0xcarbon,0xCarbon,0xcarbon.co,software development,1-10,Public Company,,,,
company/0xebisusbay,Ebisu's Bay,ebisusbay.com,blockchain services,11-50,Privately Held,,Lawrence,Kansas,US
company/0y1jewelry,0y1 Jewelry Studio,0y1jewelrystudio.com,retail apparel and fashion,1-10,Self-Employed,2020.0,New,York,US
company/1-14-cav,"1-14 CAV, 3-2 Stryker BDE, US Army",wikipedia.org,armed forces,1K-5K,Government Agency,1901.0,Lewis-Mcchord,Washington,US
company/1-2-3-kfz-service,1-2-3 KFZ Service,1-2-3-kfz-service.de,,,,,Malsch,Baden-Wrttemberg,DE
company/1-2-3-pokreni-d-o-o,"1,2,3 Pokreni d.o.o.",123pokreni.hr,business consulting and services,1-10,Privately Held,,,,
company/1-2-link,1-2-Link,12link.nl,"technology, information and internet",1-10,Self-Employed,,Doorn,Utrecht,NL
company/1-800-biz-broker,"1-800-Biz-Broker | Business Broker in Riverside, CA",justsoldbiz.com,real estate,1-10,Privately Held,2015.0,Riverside,California,US
company/1-800-bizfund,1-800-BizFund,1800bizfund.com,financial services,11-50,Privately Held,2017.0,Manhattan Beach,California,US
company/1-butt-to-kick,1 Butt to Kick,1butttokick.com,business consulting and services,1-10,Self-Employed,2021.0,Hopedale,Massachusetts,US
company/1-esport-club-frankfurt-e-v,1. Esport Club Frankfurt e.V.,frankfurt-esports.de,computer games,51-200,Self-Employed,,Frankfurt Am Main,,DE
company/1-in-4-bpo,1 In 4 BPO,1in4.team,advertising services,11-50,Privately Held,,,,
company/1-investidor,1% investidor,umporcentoinvestidor.com.br,"technology, information and internet",1-10,Privately Held,,Florianpolis,Santa Catarina,BR
company/1-journal,1 Journal,,advertising services,1-10,Privately Held,2021.0,Ware,England,GB
company/1-more-go,1 More Go,1morego.com,it services and it consulting,1-10,Public Company,2009.0,,,
company/1-percent-agent,1 Percent Agent,1percentagent.ca,advertising services,1-10,Privately Held,,Kitchener,Ontario,CA
company/1-security-solutions-applied-llc-1ssa-,"1SSA, LLC (1 Security Solutions Applied)",1ssa.net,it services and it consulting,1-10,Privately Held,2008.0,Leesburg,Virginia,US
company/1-solution-hub-oy,1 Solution Hub Oy,1solutionhub.com,it services and it consulting,1-10,Public Company,2016.0,Helsinki,Uusimaa,FI
company/1-sports-fan,1 Sports Fan,,retail,1-10,,,Chicago,Illinois,US
company/1-stop-4-all,1Stop 4All BV,1stop4all.nl,staffing and recruiting,1-10,Privately Held,2009.0,Vierpolders,South Holland,NL
company/1-stop-flooring-supply,1 Stop Flooring Supply,1stopflooringsupply.com,construction,11-50,,,Artesia,California,US
company/1-team-tirana,Glob Line Tirana,globline.al,telecommunications,51-200,Self-Owned,2018.0,Tirana,,
company/1-tsc-grün-gold-leipzig-1947-e-v-,1. TSC Grün-Gold Leipzig 1947 e.V.,gruen-gold-leipzig.de,spectator sports,,,,,,
company/1-via,1-VIA,1-via.com,semiconductor manufacturing,1-10,Privately Held,2019.0,Maidenhead,England,GB
company/1-world-vogue-apparel-canada,1 World Vogue Apparel Canada,1wvac.co,retail apparel and fashion,1-10,Privately Held,2008.0,London,Ontario,CA
company/1-year-2-fit,1 Year 2 Fit,1year2fit.com,professional training and coaching,11-50,Public Company,2017.0,,,US
company/10-10-apothecary,10/10 APOTHECARY,1010apothecary.com.tw,retail,51-200,Privately Held,,,,TW
company/10-39-design-llc,10-39 Online LLC,1039online.com,online audio and video media,1-10,Self-Owned,2012.0,Logan,Utah,US
company/10-eighty-digital,10 Eighty Digital,10eightydigital.com.au,media production,1-10,Self-Owned,1996.0,Canungra,Queensland,AU
company/10-federal-partners-inc,10 FEDERAL PARTNERS INC,,real estate,51-200,,,Raleigh,North Carolina,US
company/10-g-management,10 G Management,10gmgmt.com,entertainment providers,1-10,Privately Held,2020.0,Los Angeles,California,US
company/10-gallon-media,10 Gallon Media,,advertising services,1-10,Privately Held,2017.0,,,
company/10-happier-inc.,"10% HAPPIER, INC.",10percenthappier.com,,11-50,,2013.0,Boston,Massachusetts,US
company/10-medical-care-s-a-s,10 Medical care s.a.s.,10medicalcare.com,medical equipment manufacturing,1-10,Privately Held,2019.0,El Retiro,Antioquia,CO
company/10-minute-website,10 Minute Website,10minutewebsite.com,"technology, information and internet",11-50,Privately Held,2011.0,Las Vegas,Nevada,US
company/10-plus-12-designs,10 Plus 12 Designs,10plus12designs.com,graphic design,1-10,Self-Employed,2009.0,Las Vegas,Nevada,US
company/10-star-entertainment,10 Star Entertainment,,media production,,,,,,
company/10-tech-solutions-llc,"10 Tech Solutions, LLC",10techsolutions.com,computer and network security,1-10,Privately Held,,,,
company/100-black-men-of-phoenix,100 Black Men of Phoenix,100blackmenofphoenix.com,,1-10,,,Phoenix,Arizona,US
company/100-cleaners,100% Cleaners,100cleaners.co.zw,consumer services,1-10,Privately Held,2022.0,Harare,Harare,ZW
company/100-hp,100 HP,100hp.eu,machinery manufacturing,11-50,Partnership,,San Benedetto Del Tronto Marche,,IT
company/100-mill,100 Mill,100milltempe.com,real estate,1-10,Privately Held,,,,
company/100-ponteggi-s.r.l.,100 PONTEGGI S.R.L.,,construction,11-50,,,Pieve Di Cento,,IT
company/100-rework-tm-technik,100% Rework / TM Technik,rework.cz,,,,,,,
company/100-startups,100 Startups,100startups.es,events services,1-10,Privately Held,,,,
company/100-voor-het-goede-doel,100 procent voor het goede doel,vhgd.nl,philanthropic fundraising services,1-10,Nonprofit,2013.0,,,
company/100-warm,100%WARM,,textile manufacturing,,,,,,
company/100-watts-consulting,100 WATTS CONSULTING,100wattsconsulting.com,business consulting and services,1-10,Privately Held,2012.0,New York,New York,US
company/100-yards,100 Yards,100yards.in,real estate,1-10,Privately Held,,Mangaluru,Karnataka,IN
company/1000-springs-realty,1000 Springs Realty,1000springsrealty.com,real estate,1-10,Self-Owned,,,,
company/1000-tech,1000.tech,1000.tech,it services and it consulting,1-10,Privately Held,2015.0,,,
company/1000screens,1000screens,,hospitality,11-50,Privately Held,2017.0,Makati,Manila,PH
company/1000watt,1000watt,1000watt.net,advertising services,11-50,Privately Held,2006.0,Portland,Oregon,US
company/1001-märchen-gmbh,1001 Märchen GmbH,1001maerchen.de,performing arts,,,,Dresden,Saxony,DE
company/1001-reklam,1001 Reklam,1001reklam.com.tr,advertising services,11-50,Privately Held,2008.0,Turgut Reis Mahallesi,Sultanbeyli/IStanbul,TR
company/1001-réflexologies,1001 Réflexologies ☯️,1001reflexologies.com,wellness and fitness services,1-10,Self-Employed,2019.0,Reyrieux,Auvergne-Rhone-Alpes,FR
company/1001-services-sarl,1001 Services SARL,,construction,1-10,,,Ivry-Sur-Seine,,FR
company/1001-toits,1001 TOITS,1001-toits.fr,real estate,11-50,Partnership,,,,
company/1001asansörvebinahizmetleri,1001 Asansör ve Bina Hizmetleri,1001asansor.com,automation machinery manufacturing,1-10,Self-Owned,2017.0,IStanbul,Sultanbeyli,TR
company/100daysofmarketing,100 Days Of Marketing,,advertising services,1-10,Privately Held,,London,England,GB
company/100grados,100 Grados,,business consulting and services,11-50,Self-Owned,2011.0,Bogot,Bogota D.C.,CO
company/100jan-design,100jan Design,100jan.com,it services and it consulting,1-10,Privately Held,2009.0,,,
company/100logistics,100 Logistics Corp,100logisticscorp.com,truck transportation,11-50,Public Company,2017.0,Nuevo Laredo,Tamaulipas,MX
company/100mega-distribution,100MEGA Distribution,100mega.cz,it services and it consulting,51-200,Privately Held,1994.0,Brno,South Moravian,CZ
company/100milaripartenze,100mila RIPARTENZE,100000ripartenze.it,non-profit organizations,1-10,Nonprofit,2019.0,Treviso,Veneto,IT
company/100mpnnl,100% Media & Partner Netwerk,100pm.nl,advertising services,11-50,Public Company,2009.0,Volendam,North Holland,NL
company/100peoplemacomb,100 People Macomb,100peoplemacomb.com,philanthropic fundraising services,51-200,Nonprofit,2018.0,Sterling Heights,Michigan,US
company/100percentrenewableuk,100% Renewable UK,100percentrenewableuk.org,renewable energy semiconductor manufacturing,1-10,Nonprofit,2020.0,,,
company/100porcentosabor,100% Sabor,100porcentosabor.pt,advertising services,1-10,Self-Owned,2017.0,Setbal,District of Setbal,PT
company/100womenofdiversity,SCENE Chicago Women Of Diversity,facebook.com,media production,11-50,Privately Held,2018.0,Chicago,Illinois,US
company/100xproduct,100xProduct,,business consulting and services,1-10,Partnership,2022.0,Hyderabad,Telangana,IN
company/101-california,101 California,101california.com,government administration,1-10,,,San Francisco,California,US
company/101-dalmatians-the-musical---troika-entertainment,101 Dalmatians The Musical - Troika Entertainment,,entertainment providers,51-200,Privately Held,,,,
company/101-management,101 Management Inc.,101management.net,"technology, information and internet",1-10,Privately Held,2000.0,Gainesville,Florida,US
company/101infotech,101 INFO TECH,101infotech.com.np,software development,11-50,Privately Held,2020.0,,,NP
company/101propertysolutions,101 Property Solutions,,real estate,1-10,Public Company,,Christchurch,England,GB
company/101st-earthborn-environmental-technologies-lp,"101st Earthborn Environmental Technologies, LP",earthbornclean.com,chemical manufacturing,1-10,Privately Held,2011.0,Colby,Kansas,US
company/104-cent-quatre,104 CENT QUATRE,,performing arts,51-200,,,Aubervilliers,le-de-France,FR
company/104th-edinburgh-and-leith,104th Edinburgh and Leith,104thedinburghne.co.uk,recreational facilities,,,,Edinburgh,Scotland,GB
company/1066-hypnotherapy,1066 Therapy,1066hypnotherapy.co.uk,alternative medicine,1-10,Self-Employed,,Battle,England,GB
company/1066-kung-fu-schools,1066 Wing Chun Schools,1066kungfuschools.org,wellness and fitness services,1-10,Self-Employed,2008.0,Hastings,England,GB
company/107aviation,107 Aviation,107aviation.com,photography,1-10,Self-Employed,2016.0,Winter Garden,Florida,US
company/1080-communications,1080 Communications,1080communications.com,advertising services,1-10,Self-Owned,2009.0,Glen Mills,Pennsylvania,US
company/1080-inc.,"1080, Inc.",1080.com,"movies, videos, and sound",51-200,Privately Held,,San Antonio,Texas,US
company/10am-communications-pte-ltd-,10AM Communications Pte. Ltd.,,advertising services,11-50,,,Singapore,,SG
company/10media,10media,10media.nl,advertising services,1-10,Self-Employed,2002.0,,,
company/10minuteschool,10 Minute School,,,,,,,,
company/10pm-curfew,10PM Curfew,10pmcurfew.com,online audio and video media,11-50,Partnership,2017.0,Los Angeles,California,US
company/10points,10POINTS,10points.com.tr,food and beverage services,1-10,Privately Held,2017.0,,,
company/10th-avenue-theatre-and-arts-centre,Tenth Avenue Arts Center,tenthavenuearts.com,entertainment providers,1-10,Public Company,,,,
company/10th-medical-group-usaf-academy-hospital,10TH MEDICAL GROUP-USAF ACADEMY HOSPITAL,af.mil,hospitals and health care,1-10,,,Acad,Colorado,US
company/10th-mortgage,10th Real Estate and lending,10thmortgage.com,real estate,1-10,Partnership,2022.0,Austin,Texas,US
company/10th-street-apparel,10th Street Apparel,10thstapparel.com,retail apparel and fashion,1-10,Self-Employed,,,,
company/10thcollective,10th Collective Creative Agency,10thcollective.com,media production,1-10,Self-Owned,2019.0,Washington,District of Columbia,US
company/10thgate,10th Gate Solutions Pvt Ltd.,,it services and it consulting,1-10,Privately Held,2021.0,Indore,Madhya Pradesh,IN
company/10xafrica,10xAfrica,10x.africa,executive offices,1-10,Privately Held,2017.0,Nairobi,Nairobi Province,KE
company/10ximpactlabs,10x Impact Labs,,"technology, information and internet",1-10,Partnership,2023.0,Bangalore,,IN
company/10xsolutio,10X Solutions,undercover10x.com,operations consulting,1-10,Self-Owned,2023.0,Tempe,Arizona,US
company/11-11-the-challenger-company,11:11. The Challenger Company.,1111saopaulo.com,advertising services,11-50,Privately Held,2020.0,So Paulo,Sao Paulo,BR
company/11-researchers,11 RESEARCHERS,,research services,1-10,Self-Owned,2020.0,Johannesburg,Gauteng,ZA
company/11-social,11 Social,11social.com,advertising services,1-10,Privately Held,2012.0,,,
company/11-street-design,11 street design,11streetdesign.com,it services and it consulting,1-10,Self-Owned,,,,
company/110-agder---østre-agder-brannvesen,110 Agder - Østre Agder Brannvesen,oabv.no,law enforcement,,,,Arendal,Agder,NO
company/110-creed-apparel,Awearness Brand Apparel LLC,110creedapparel.com,retail apparel and fashion,1-10,Self-Employed,2017.0,Norman,Oklahoma,US
company/110-interiors-limited,110% INTERIORS LIMITED,,leasing non-residential real estate,,,,Bolton,England,GB
company/1100-group,1100 GROUP,1100group.com,hospitality,11-50,Partnership,2016.0,Bay Area,California,US
company/111-immigration-services-jordan,111 Jordan,111immigration.com,travel arrangements,1-10,Public Company,,Amman,Amman Governorate,JO
company/113-chancery-lane,113 Chancery Lane,113chancerylane.co.uk,events services,11-50,Public Company,,London,England,GB
company/11bravo-online-marketing,11Bravo Online Marketing,,,,,,Roswell,,US
company/11th-airborne-division,"11th Airborne Division, U.S. Army",army.mil,armed forces,5K-10K,Government Agency,,Elmendorf-Richardson,Alaska,US
company/11th-house-marketing,11th House Marketing,11thhouse.co.za,advertising services,1-10,Privately Held,2021.0,Cape Town,Western Cape,ZA
company/12-grove-productions,12 Grove Productions,12groveproductions.com,media production,1-10,Partnership,2013.0,Hollywood,Florida,US
company/12-old-square,12 Old Square,12os.com,law practice,51-200,Self-Employed,1965.0,London,England,GB
company/12-squared-growth,12 Squared Growth,12squaredgrowth.com,business consulting and services,1-10,Self-Employed,2015.0,Denver,Colorado,US
company/12-tone-matrix,12 Tone Matrix LLC,12tonematrix.com,software development,1-10,Privately Held,,Chicago,Illinois,US
company/120-limited,120 LIMITED,xk120limited.com,,,,,Bristol,England,GB
company/120-pour-cent,120 POUR CENT,,accounting,1-10,Privately Held,2018.0,Rennes,Brittany,FR
company/1200-broadway,1200 Broadway,udr.com,real estate,1-10,Public Company,,Nashville,Tennessee,US
company/120grafix,120Grafix,120grafix.com,design services,1-10,Public Company,2013.0,,,
company/121-consulting-group,121 Consulting Group,121-consulting.com,renewable energy semiconductor manufacturing,1-10,Privately Held,,Miami,Florida,US
company/1210-capital,1210 Capital,1210cap.com,real estate,1-10,Privately Held,,Wayne,Pennsylvania,US
company/123,,,internet,1K-5K,,,,,
company/123-cleaners,123 Cleaners,123cleaners.com,hospitality,1-10,Privately Held,,,,
company/123-ez-tees-inc,123 EZ Tees Inc,,graphic design,1-10,,,,Pennsylvania,US
company/123-je-reste-chez-moi,123 je reste chez moi,123jerestechezmoi.com,architecture and planning,1-10,Self-Employed,2023.0,Strasbourg,Grand Est,FR
company/123-loan-llc,123 Loan LLC,,real estate,11-50,,,Aliso Viejo,California,US
company/123-net-uk,123-Net UK,123-net.co.uk,"technology, information and internet",1-10,Privately Held,2014.0,,,
company/123-seguros,123 Seguros,123seguros.pt,insurance,11-50,Privately Held,2016.0,Celorico De Basto,,PT
company/123-zonnepanelen-reinigen,123 Zonnepanelen Reinigen,123zonnepanelenreinigen.nl,chemical manufacturing,,,,Den Haag,,NL
company/1231231vsaa,OBHR,,higher education,501-1K,Educational,,,,
company/123anywherestreet,123 Anywhere Street Real Estate Services,wordpress.com,e-learning providers,10K+,Educational,2021.0,Cebu City,Central Visayas,PH
company/123camps,123 Camps,123kolonie.co.uk,events services,11-50,Privately Held,,Milton Keynes,Buckinghamshire,GB
company/123cards-com,123cards.com,123cards.com,"technology, information and internet",1-10,Privately Held,,,,
company/123cashoffer,123 Cash Offer,123cashoffer.com,real estate,1-10,Public Company,2016.0,Areas,Arizona,US
company/123flightcasenl,123Flightcase.nl,123flightcase.nl,construction,1-10,Partnership,2015.0,'s-Gravendeel,Zuid-Holland,NL
company/123projetei,123Projetei,123projetei.com,architecture and planning,11-50,Self-Owned,2016.0,Florianpolis,Santa Catarina,BR
company/123salg-aps,123Salg ApS,123salg.dk,online audio and video media,1-10,Partnership,,,,
company/123total-web-solutions,123Total web Solutions,123coimbatore.com,,,,,Toronto,Ontario,CA
company/124-marketplace-llc,"124 Marketplace, LLC",124marketplace.com,real estate,1-10,Privately Held,2015.0,West Chester,Pennsylvania,US
company/124.services,124.SERVICES,,individual and family services,51-200,,,,,FR
company/125th-district-court,125th District Court,,legal services,1-10,,,Houston,Texas,US
company/12713323a,QuadTech,quadtechgroup.com,automation machinery manufacturing,11-50,Privately Held,2009.0,Nagpur,Maharashtra,IN
company/127rg,127RG,127rg.com,retail apparel and fashion,1-10,Privately Held,2018.0,Warsaw,Mazovia,PL
company/128-plumbing-&-heating-inc.,"128 Plumbing, Heating, Cooling & Electric",128plumbing.com,furniture and home furnishings manufacturing,51-200,Privately Held,1992.0,Wakefield,Massachusetts,US
company/12day-films,12Day Films,12dayfilms.com,"movies, videos, and sound",,,,,,
company/12nine-real-estate,12NINE Real Estate,,real estate,1-10,Privately Held,,Soest,Utrecht,NL
company/12thcross,12th Cross,12thcross.com,advertising services,1-10,Privately Held,2017.0,Bengaluru,Karnataka,IN
company/12trace,12Trace,12trace.nl,"appliances, electrical, and electronics manufacturing",11-50,Partnership,1997.0,,,
company/12voltmag,12voltmag,12voltmag.com,newspaper publishing,1-10,Self-Employed,,Cherry Creek,New York,US
company/13-corners-artworks,13 Corners Metal Artworks,facebook.com,artists and writers,1-10,Self-Owned,2015.0,Pioneer,California,US
company/13-degrés-sud-formation-stratégie-et-innovation,13 Degrés Sud - Innovative and Strategic Training - Mayotte et Réunion,13degressud.com,professional training and coaching,1-10,Privately Held,2009.0,Mamoudzou Mamoudzou,,YT
