cbsa_code,metro_name,city_state,year,quarter,fhfa_index,zillow_price_q,fhfa_qoq,fhfa_yoy,zillow_qoq,zillow_yoy,firms_founded,firms_founded_yoy,hhi_new,top_industry_share_new,industry_count_new,firm_count_total,hhi_stock,top_industry_share_stock,industry_count_stock,share_large_proxy,median_size_mid,firms_founded_yoy_lag1q,hhi_new_lag1q,firms_founded_yoy_lag2q,hhi_new_lag2q,firms_founded_yoy_lag4q,hhi_new_lag4q,firms_founded_yoy_lag8q,hhi_new_lag8q,fhfa_yoy_fwd4q,zillow_yoy_fwd4q,yq,date
10180,"Abilene, TX","Abilene, TX",1991,2,87.81,,0.0494801003944065,0.0999624201428035,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,-0.3333333333333333,0.5,,,,,,,0.0356451429222184,,1991Q2,1991-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1991,3,88.38,,0.0064912880081995,0.1118379670398792,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,-0.3333333333333333,0.5,,,,,0.0408463453269971,,1991Q3,1991-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1991,4,83.71,,-0.0528400090518217,0.0124576681180452,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.1061999761079919,,1991Q4,1991-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1992,1,93.31,,0.1146816389917573,0.1152145332855265,,,1.0,-0.5,1.0,1.0,1.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,-0.3333333333333333,0.5,,,0.0147894116386237,,1992Q1,1992-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1992,2,90.94,,-0.0253992069445933,0.0356451429222184,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,-0.5,1.0,,,,,,,0.0722454365515725,,1992Q2,1992-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1992,3,91.99,,0.0115460743347262,0.0408463453269971,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,-0.5,1.0,,,,,0.0534840743559081,,1992Q3,1992-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1992,4,92.6,,0.006631155560387,0.1061999761079919,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0744060475161987,,1992Q4,1992-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1993,1,94.69,,0.0225701943844491,0.0147894116386237,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,-0.5,1.0,-0.3333333333333333,0.5,0.0355898194107087,,1993Q1,1993-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1993,2,97.51,,0.0297813919104446,0.0722454365515725,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0287150035893755,,1993Q2,1993-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1993,3,96.91,,-0.0061532150548662,0.0534840743559081,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0236301723248375,,1993Q3,1993-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1993,4,99.49,,0.0266226395624806,0.0744060475161987,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,-0.0251281535832746,,1993Q4,1993-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1994,1,98.06,,-0.014373303849633,0.0355898194107087,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,-0.5,1.0,0.0197838058331634,,1994Q1,1994-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1994,2,100.31,,0.0229451356312462,0.0287150035893755,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0165486990329977,,1994Q2,1994-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1994,3,99.2,,-0.0110656963413418,0.0236301723248375,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0150201612903224,,1994Q3,1994-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1994,4,96.99,,-0.0222782258064516,-0.0251281535832746,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0554696360449531,,1994Q4,1994-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1995,1,100.0,,0.0310341272296112,0.0197838058331634,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0542,,1995Q1,1995-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1995,2,101.97,,0.0197,0.0165486990329977,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.044719035010297,,1995Q2,1995-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1995,3,100.69,,-0.0125527115818377,0.0150201612903224,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0489621610884893,,1995Q3,1995-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1995,4,102.37,,0.0166848743668686,0.0554696360449531,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0325290612484125,,1995Q4,1995-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1996,1,105.42,,0.0297938849272247,0.0542,,,1.0,0.0,1.0,1.0,1.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0010434452665528,,1996Q1,1996-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1996,2,106.53,,0.010529311326124,0.044719035010297,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,0.0,1.0,,,,,,,-0.0085421946869426,,1996Q2,1996-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1996,3,105.62,,-0.0085421946869426,0.0489621610884893,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,0.0,1.0,,,,,0.0303919712175724,,1996Q3,1996-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1996,4,105.7,,0.0007574323044876,0.0325290612484125,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0364238410596025,,1996Q4,1996-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1997,1,105.53,,-0.001608325449385,0.0010434452665528,,,1.0,-0.5,1.0,1.0,1.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,0.0,1.0,,,0.0397043494740831,,1997Q1,1997-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1997,2,105.62,,0.0008528380555292,-0.0085421946869426,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,-0.5,1.0,,,,,,,0.0245218708577918,,1997Q2,1997-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1997,3,108.83,,0.0303919712175724,0.0303919712175724,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,-0.5,1.0,,,,,0.0186529449600294,,1997Q3,1997-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1997,4,109.55,,0.006615822842966,0.0364238410596025,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0240073026015519,,1997Q4,1997-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1998,1,109.72,,0.001551802829758,0.0397043494740831,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,-0.5,1.0,0.0,1.0,0.02551950419249,,1998Q1,1998-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1998,2,108.21,,-0.0137623040466642,0.0245218708577918,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.051936050272618,,1998Q2,1998-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1998,3,110.86,,0.0244894187228537,0.0186529449600294,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0371639906187986,,1998Q3,1998-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1998,4,112.18,,0.0119069096157315,0.0240073026015519,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0332501337136743,,1998Q4,1998-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1999,1,112.52,,0.0030308432875734,0.02551950419249,,,1.0,-0.5,1.0,1.0,1.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,-0.5,1.0,0.017419125488802,,1999Q1,1999-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1999,2,113.83,,0.0116423746889442,0.051936050272618,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,-0.5,1.0,,,,,,,0.0024598084863391,,1999Q2,1999-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1999,3,114.98,,0.0101027848546078,0.0371639906187986,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,-0.5,1.0,,,,,0.0060010436597668,,1999Q3,1999-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",1999,4,115.91,,0.0080883631935988,0.0332501337136743,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0232076611163833,,1999Q4,1999-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2000,1,114.48,,-0.012337158139936,0.017419125488802,,,1.0,0.0,1.0,1.0,1.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,-0.5,1.0,,,0.0372117400419287,,2000Q1,2000-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2000,2,114.11,,-0.0032320055904961,0.0024598084863391,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,0.0,1.0,,,,,,,0.0538077293839278,,2000Q2,2000-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2000,3,115.67,,0.0136710191920077,0.0060010436597668,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,0.0,1.0,,,,,0.0298262297916487,,2000Q3,2000-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2000,4,118.6,,0.0253306821129073,0.0232076611163833,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0419055649241146,,2000Q4,2000-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2001,1,118.74,,0.0011804384485665,0.0372117400419287,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,0.0,1.0,-0.5,1.0,0.0351187468418392,,2001Q1,2001-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2001,2,120.25,,0.0127168603671887,0.0538077293839278,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0133056133056133,,2001Q2,2001-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2001,3,119.12,,-0.0093970893970893,0.0298262297916487,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0371054398925454,,2001Q3,2001-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2001,4,123.57,,0.0373572867696438,0.0419055649241146,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0291332847778587,,2001Q4,2001-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2002,1,122.91,,-0.005341102209274,0.0351187468418392,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,0.0,1.0,0.0292083638434628,,2002Q1,2002-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2002,2,121.85,,-0.0086241965665934,0.0133056133056133,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.045465736561346,,2002Q2,2002-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2002,3,123.54,,0.0138695116947067,0.0371054398925454,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0365873401327505,,2002Q3,2002-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2002,4,127.17,,0.0293831957260806,0.0291332847778587,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,-0.0054258079735786,,2002Q4,2002-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2003,1,126.5,,-0.005268538177243,0.0292083638434628,,,2.0,1.0,0.5,0.5,2.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0305928853754942,,2003Q1,2003-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2003,2,127.39,,0.0070355731225295,0.045465736561346,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,1.0,0.5,,,,,,,0.0379150639767642,,2003Q2,2003-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2003,3,128.06,,0.0052594395164455,0.0365873401327505,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,1.0,0.5,,,,,0.0431828830235827,,2003Q3,2003-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2003,4,126.48,,-0.0123379665781664,-0.0054258079735786,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.066492726122707,,2003Q4,2003-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2004,1,130.37,,0.0307558507273877,0.0305928853754942,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,1.0,0.5,,,0.0540768581728923,,2004Q1,2004-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2004,2,132.22,,0.0141903812226737,0.0379150639767642,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0763122069278474,,2004Q2,2004-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2004,3,133.59,,0.0103615186809862,0.0431828830235827,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0693914215135864,,2004Q3,2004-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2004,4,134.89,,0.0097312673104272,0.066492726122707,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0766550522648084,,2004Q4,2004-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2005,1,137.42,,0.0187560234264956,0.0540768581728923,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,1.0,0.5,0.0980206665696405,,2005Q1,2005-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2005,2,142.31,,0.0355843399796245,0.0763122069278474,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0649989459630384,,2005Q2,2005-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2005,3,142.86,,0.003864802192397,0.0693914215135864,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0888982220355592,,2005Q3,2005-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2005,4,145.23,,0.0165896682066357,0.0766550522648084,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0863457963230738,,2005Q4,2005-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2006,1,150.89,,0.0389726640501273,0.0980206665696405,,,1.0,0.0,1.0,1.0,1.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0764132811982238,,2006Q1,2006-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2006,2,151.56,,0.0044403207634702,0.0649989459630384,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,0.0,1.0,,,,,,,0.0824096067564001,,2006Q2,2006-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2006,3,155.56,,0.0263921879123778,0.0888982220355592,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,0.0,1.0,,,,,0.0487271792234507,,2006Q3,2006-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2006,4,157.77,,0.0142067369503728,0.0863457963230738,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0370792926411864,,2006Q4,2006-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2007,1,162.42,,0.0294732838942763,0.0764132811982238,,,1.0,0.0,1.0,1.0,1.0,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,0.0,1.0,,,0.0196404383696591,,2007Q1,2007-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2007,2,164.05,,0.0100357098879448,0.0824096067564001,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,0.0,1.0,,,,,,,0.0057299603779334,,2007Q2,2007-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2007,3,163.14,,-0.0055470893020421,0.0487271792234507,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,0.0,1.0,,,,,0.0185117077356871,,2007Q3,2007-09-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2007,4,163.62,,0.0029422581831557,0.0370792926411864,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0356924581347024,,2007Q4,2007-12-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2008,1,165.61,,0.0121623273438455,0.0196404383696591,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,0.0,1.0,0.0,1.0,0.0296479681178671,,2008Q1,2008-03-31 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2008,2,164.99,,-0.0037437352816859,0.0057299603779334,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0296987696224011,,2008Q2,2008-06-30 23:59:59.999999999
10180,"Abilene, TX","Abilene, TX",2008,3,166.16,,0.0070913388690223,0.0185117077356871,,,,,,,,52.0,0.0473372781065088,0.1153846153846153,32.0,0.0961538461538461,125.5,,,,,,,,,0.0246148290804044,,2008Q3,2008-09-30 23:59:59.999999999
